Date,Open,High,Low,Close,Volume
2020-12-02 10:00:00,238.5,244.66,238.5,243.8,1.65557
2020-12-02 10:30:00,244.34,244.57,244.32,244.32,4.38931
2020-12-02 11:00:00,245.18,247.12,244.4,247.12,4.48033
2020-12-02 11:30:00,246.03,246.03,246.03,246.03,0.81327
2020-12-02 12:00:00,244.1,244.12,241.47,243.46,2.9424
2020-12-02 12:30:00,243.69,243.85,241.99,243.85,8.6686
2020-12-02 13:00:00,243.83,244.39,243.83,244.39,1.642
2020-12-02 13:30:00,245.62,245.62,244.0,244.0,9.17873
2020-12-02 14:00:00,243.5,245.07,242.87,242.87,9.00535
2020-12-02 14:30:00,242.85,243.15,241.66,242.03,2.80199
2020-12-02 15:00:00,241.66,241.66,238.04,240.06,9.29425
2020-12-02 15:30:00,239.51,240.05,239.51,240.05,2.57702
2020-12-02 16:00:00,239.8,242.45,237.83,242.16,5.27205
2020-12-02 16:30:00,240.62,240.62,240.62,240.62,1.10097
2020-12-02 17:00:00,240.68,240.68,240.56,240.56,0.70586
2020-12-02 17:30:00,239.85,240.97,239.85,240.97,0.48183
2020-12-02 18:00:00,243.42,243.42,242.92,242.92,1.16195
2020-12-02 18:30:00,241.8,241.8,241.8,241.8,0.51591
2020-12-02 19:00:00,242.0,242.0,242.0,242.0,0.04135
2020-12-02 19:30:00,241.78,241.78,241.78,241.78,1.07505
2020-12-02 20:00:00,241.78,242.43,241.61,241.61,1.77669
2020-12-02 20:30:00,242.49,242.5,242.49,242.5,0.32329
2020-12-02 21:00:00,242.5,242.5,242.5,242.5,0.0
2020-12-02 21:30:00,242.14,242.8,242.14,242.34,3.25554
2020-12-02 22:00:00,242.73,242.97,242.0,242.18,4.43501
2020-12-02 22:30:00,241.37,241.37,241.37,241.37,1.01669
2020-12-02 23:00:00,241.9,242.99,241.9,242.99,4.18863
2020-12-02 23:30:00,243.96,244.5,243.23,243.23,6.10733
2020-12-03 00:00:00,244.02,245.13,243.97,245.13,3.08676
2020-12-03 00:30:00,243.67,244.72,242.99,244.72,5.83782
2020-12-03 01:00:00,244.24,244.24,242.7,242.7,1.99521
2020-12-03 01:30:00,242.29,242.29,241.35,241.7,8.22306
2020-12-03 02:00:00,241.99,241.99,241.5,241.5,4.59987
2020-12-03 02:30:00,240.71,240.71,240.71,240.71,1.07671
2020-12-03 03:00:00,240.88,241.43,240.88,241.43,0.72219
2020-12-03 03:30:00,241.99,241.99,241.99,241.99,0.5613
2020-12-03 04:00:00,242.1,242.11,242.1,242.11,0.41298
2020-12-03 04:30:00,242.11,242.11,242.11,242.11,0.0
2020-12-03 05:00:00,242.11,242.11,242.11,242.11,0.0
2020-12-03 05:30:00,240.11,240.11,237.28,237.34,17.44937
2020-12-03 06:00:00,238.9,238.9,238.4,238.57,5.49469
2020-12-03 06:30:00,238.01,238.67,238.01,238.67,3.01679
2020-12-03 07:00:00,237.72,237.72,237.72,237.72,0.41965
2020-12-03 07:30:00,239.31,239.89,238.98,239.89,10.69808
2020-12-03 08:00:00,238.92,241.58,236.52,241.17,15.51604
2020-12-03 08:30:00,241.45,241.45,240.4,240.6,5.35199
2020-12-03 09:00:00,242.38,242.38,239.52,239.52,3.35816
2020-12-03 09:30:00,240.83,240.83,240.83,240.83,0.0982
2020-12-03 10:00:00,242.0,242.88,242.0,242.47,17.29105
2020-12-03 10:30:00,243.02,244.11,242.9,244.11,4.4259
2020-12-03 11:00:00,244.36,244.36,242.48,243.32,7.23411
2020-12-03 11:30:00,243.31,243.32,242.84,242.84,0.40578
2020-12-03 12:00:00,242.91,242.91,240.81,240.81,4.34875
2020-12-03 12:30:00,241.35,241.86,241.1,241.86,4.5354
2020-12-03 13:00:00,242.31,242.31,242.31,242.31,0.06051
2020-12-03 13:30:00,241.49,241.49,240.3,240.3,1.46146
2020-12-03 14:00:00,241.44,242.52,241.44,242.39,4.68649
2020-12-03 14:30:00,241.6,241.6,241.6,241.6,1.05661
2020-12-03 15:00:00,240.3,240.3,240.3,240.3,0.06245
2020-12-03 15:30:00,241.82,242.7,241.59,242.7,4.11095
2020-12-03 16:00:00,242.74,244.0,238.19,240.12,22.98837
2020-12-03 16:30:00,241.26,241.26,240.99,240.99,1.685
2020-12-03 17:00:00,241.35,241.56,241.35,241.56,0.82364
2020-12-03 17:30:00,239.66,240.41,239.66,240.41,7.15904
2020-12-03 18:00:00,240.12,240.73,240.12,240.47,11.58387
2020-12-03 18:30:00,240.84,241.14,240.84,241.14,1.43954
2020-12-03 19:00:00,240.41,240.83,239.68,239.68,6.56489
2020-12-03 19:30:00,239.61,239.61,239.6,239.6,2.01659
2020-12-03 20:00:00,240.3,240.85,240.3,240.85,3.17074
2020-12-03 20:30:00,240.44,240.44,239.63,239.63,4.0035
2020-12-03 21:00:00,239.63,239.63,239.63,239.63,0.0
2020-12-03 21:30:00,240.63,241.13,240.63,241.13,1.94226
2020-12-03 22:00:00,240.97,241.17,240.97,241.17,0.99889
2020-12-03 22:30:00,240.23,240.79,240.23,240.23,1.01988
2020-12-03 23:00:00,240.79,241.38,240.02,240.02,11.19607
2020-12-03 23:30:00,240.58,240.95,240.58,240.95,1.22597
2020-12-04 00:00:00,240.92,240.92,240.92,240.92,0.04193
2020-12-04 00:30:00,240.92,240.92,240.92,240.92,0.0
2020-12-04 01:00:00,242.59,242.6,240.02,241.14,4.66221
2020-12-04 01:30:00,240.97,240.97,239.83,239.83,0.4645
2020-12-04 02:00:00,240.2,240.2,239.68,239.68,1.26892
2020-12-04 02:30:00,239.68,239.68,237.75,237.75,1.24423
2020-12-04 03:00:00,238.03,239.0,237.61,237.61,2.98327
2020-12-04 03:30:00,237.1,237.52,235.56,235.56,5.8036
2020-12-04 04:00:00,235.25,236.96,234.13,236.61,4.88389
2020-12-04 04:30:00,236.61,236.61,236.61,236.61,0.0
2020-12-04 05:00:00,236.61,236.61,236.61,236.61,0.0
2020-12-04 05:30:00,236.94,236.94,236.29,236.29,1.58431
2020-12-04 06:00:00,235.77,237.5,235.77,237.5,2.93945
2020-12-04 06:30:00,237.41,237.41,237.41,237.41,0.04718
2020-12-04 07:00:00,237.41,237.41,237.41,237.41,0.0
2020-12-04 07:30:00,236.39,236.64,236.15,236.41,4.451
2020-12-04 08:00:00,237.84,247.45,237.84,247.45,44.36001
2020-12-04 08:30:00,246.63,253.99,245.49,251.39,90.0429
2020-12-04 09:00:00,251.25,251.56,246.11,247.46,33.01409
2020-12-04 09:30:00,247.82,247.82,245.76,247.08,8.44458
2020-12-04 10:00:00,246.41,246.41,226.01,235.08,214.76477
2020-12-04 10:30:00,235.81,238.0,235.6,236.0,26.44263
2020-12-04 11:00:00,236.57,238.86,236.57,238.86,7.04103
2020-12-04 11:30:00,237.26,238.71,235.0,235.0,8.92457
2020-12-04 12:00:00,235.44,237.31,234.39,236.88,6.7866
2020-12-04 12:30:00,238.3,238.3,238.1,238.1,2.00159
2020-12-04 13:00:00,238.58,238.59,236.88,236.88,0.67141
2020-12-04 13:30:00,237.33,237.33,237.33,237.33,0.809
2020-12-04 14:00:00,238.32,240.9,237.06,240.9,6.00715
2020-12-04 14:30:00,239.54,240.51,239.47,239.47,4.48088
2020-12-04 15:00:00,239.99,240.4,238.84,239.05,6.59989
2020-12-04 15:30:00,238.5,239.19,238.49,239.0,6.0717
2020-12-04 16:00:00,238.26,242.25,235.63,239.95,23.12421
2020-12-04 16:30:00,238.58,239.04,237.92,238.39,4.73769
2020-12-04 17:00:00,238.89,238.9,237.23,237.23,4.16944
2020-12-04 17:30:00,237.71,237.71,237.51,237.61,3.675
2020-12-04 18:00:00,237.71,238.11,236.73,236.74,1.75229
2020-12-04 18:30:00,236.59,237.98,236.59,237.98,2.18622
2020-12-04 19:00:00,238.01,238.57,238.01,238.01,2.49738
2020-12-04 19:30:00,237.71,239.01,237.71,239.01,1.0
2020-12-04 20:00:00,238.81,238.81,238.51,238.51,0.4
2020-12-04 20:30:00,238.01,238.61,237.71,238.51,1.47251
2020-12-04 21:00:00,238.21,238.41,235.38,236.08,3.62393
2020-12-04 21:30:00,235.71,236.21,233.0,235.21,8.18811
