Date,Open,High,Low,Close,Volume
2021-01-25 10:00:00,2.25,2.25,2.224,2.237,3336.892
2021-01-25 12:00:00,2.237,2.264,2.232,2.254,3767.786
2021-01-25 14:00:00,2.255,2.282,2.244,2.253,2643.749
2021-01-25 16:00:00,2.257,2.258,2.216,2.233,5409.324
2021-01-25 18:00:00,2.227,2.23,2.208,2.224,2095.019
2021-01-25 20:00:00,2.216,2.216,2.182,2.197,6033.946
2021-01-25 22:00:00,2.19,2.208,2.182,2.2,1708.652
2021-01-26 00:00:00,2.183,2.208,2.183,2.208,1409.861
2021-01-26 02:00:00,2.203,2.203,2.152,2.152,192.948
2021-01-26 04:00:00,2.147,2.17,2.147,2.17,346.563
2021-01-26 06:00:00,2.164,2.17,2.15,2.17,682.37
2021-01-26 08:00:00,2.171,2.196,2.154,2.154,3177.869
2021-01-26 10:00:00,2.171,2.186,2.168,2.168,558.387
2021-01-26 12:00:00,2.166,2.168,2.116,2.116,3772.807
2021-01-26 14:00:00,2.14,2.239,2.108,2.126,4779.361
2021-01-26 16:00:00,2.126,2.162,2.123,2.146,3569.22
2021-01-26 18:00:00,2.159,2.168,2.152,2.158,2985.885
2021-01-26 20:00:00,2.158,2.17,2.152,2.159,2425.146
2021-01-26 22:00:00,2.154,2.173,2.15,2.167,799.107
2021-01-27 00:00:00,2.146,2.156,2.142,2.147,2146.077
2021-01-27 02:00:00,2.134,2.141,2.131,2.141,686.713
2021-01-27 04:00:00,2.132,2.136,2.119,2.124,455.046
2021-01-27 06:00:00,2.12,2.153,2.106,2.148,1267.061
2021-01-27 08:00:00,2.135,2.135,2.09,2.112,4216.091
2021-01-27 10:00:00,2.109,2.136,2.095,2.106,5851.67
2021-01-27 12:00:00,2.1,2.104,2.078,2.09,6096.956
2021-01-27 14:00:00,2.072,2.094,2.043,2.091,3691.949
2021-01-27 16:00:00,2.096,2.103,2.072,2.074,1325.972
2021-01-27 18:00:00,2.08,2.088,2.053,2.076,1279.308
2021-01-27 20:00:00,2.084,2.1,2.079,2.088,1979.154
2021-01-27 22:00:00,2.09,2.106,2.068,2.076,2157.341
2021-01-28 00:00:00,2.076,2.103,2.058,2.103,3098.827
2021-01-28 02:00:00,2.112,2.116,2.098,2.116,1532.131
2021-01-28 04:00:00,2.12,2.127,2.112,2.124,605.821
2021-01-28 06:00:00,2.136,2.145,2.112,2.114,21418.977
2021-01-28 08:00:00,2.121,2.152,2.104,2.112,2191.065
2021-01-28 10:00:00,2.128,2.279,2.113,2.274,12407.417
2021-01-28 12:00:00,2.28,2.308,2.235,2.244,24230.502
2021-01-28 14:00:00,2.256,2.256,2.207,2.222,7078.993
2021-01-28 16:00:00,2.236,2.252,2.213,2.23,1734.513
2021-01-28 18:00:00,2.227,2.247,2.22,2.224,5344.176
2021-01-28 20:00:00,2.234,2.274,2.218,2.268,2259.335
2021-01-28 22:00:00,2.267,2.28,2.234,2.244,2895.234
2021-01-29 00:00:00,2.248,2.266,2.239,2.239,973.937
2021-01-29 02:00:00,2.244,2.25,2.22,2.228,1242.649
2021-01-29 04:00:00,2.234,2.327,2.193,2.316,9808.023
2021-01-29 06:00:00,2.297,2.297,2.218,2.227,4040.534
2021-01-29 08:00:00,2.234,2.316,2.2,2.27,25587.852
2021-01-29 10:00:00,2.27,2.3,2.255,2.296,9911.378
2021-01-29 12:00:00,2.293,2.389,2.282,2.383,7288.712
2021-01-29 14:00:00,2.369,2.394,2.29,2.325,17605.825
2021-01-29 16:00:00,2.34,2.351,2.27,2.27,5354.004
2021-01-29 18:00:00,2.274,2.284,2.214,2.238,3519.117
2021-01-29 20:00:00,2.239,2.261,2.232,2.261,3674.297
