Date,Open,High,Low,Close,Volume
2021-01-25 10:00:00,2.25,2.25,2.224,2.226,1546.703
2021-01-25 10:30:00,2.237,2.245,2.235,2.24,1154.689
2021-01-25 11:00:00,2.24,2.242,2.239,2.242,206.754
2021-01-25 11:30:00,2.24,2.243,2.236,2.237,428.746
2021-01-25 12:00:00,2.237,2.25,2.232,2.25,1311.384
2021-01-25 12:30:00,2.25,2.264,2.25,2.262,1009.545
2021-01-25 13:00:00,2.262,2.262,2.253,2.258,955.384
2021-01-25 13:30:00,2.258,2.258,2.243,2.254,491.473
2021-01-25 14:00:00,2.255,2.282,2.255,2.269,693.76
2021-01-25 14:30:00,2.263,2.263,2.25,2.254,824.618
2021-01-25 15:00:00,2.258,2.258,2.244,2.25,921.82
2021-01-25 15:30:00,2.254,2.254,2.253,2.253,203.551
2021-01-25 16:00:00,2.257,2.258,2.226,2.229,2407.751
2021-01-25 16:30:00,2.229,2.234,2.216,2.225,978.6
2021-01-25 17:00:00,2.226,2.24,2.226,2.23,1062.395
2021-01-25 17:30:00,2.238,2.246,2.224,2.233,960.578
2021-01-25 18:00:00,2.227,2.23,2.224,2.23,291.339
2021-01-25 18:30:00,2.227,2.229,2.215,2.225,383.6
2021-01-25 19:00:00,2.208,2.224,2.208,2.22,869.661
2021-01-25 19:30:00,2.214,2.226,2.213,2.224,550.419
2021-01-25 20:00:00,2.216,2.216,2.206,2.21,2390.193
2021-01-25 20:30:00,2.21,2.216,2.208,2.216,806.444
2021-01-25 21:00:00,2.212,2.212,2.194,2.2,1827.468
2021-01-25 21:30:00,2.192,2.204,2.182,2.197,1009.841
2021-01-25 22:00:00,2.19,2.192,2.182,2.182,510.497
2021-01-25 22:30:00,2.197,2.201,2.197,2.201,443.792
2021-01-25 23:00:00,2.196,2.208,2.19,2.208,747.579
2021-01-25 23:30:00,2.2,2.2,2.2,2.2,6.784
2021-01-26 00:00:00,2.183,2.196,2.183,2.196,624.833
2021-01-26 00:30:00,2.202,2.202,2.202,2.202,76.597
2021-01-26 01:00:00,2.193,2.193,2.193,2.193,481.989
2021-01-26 01:30:00,2.206,2.208,2.206,2.208,226.442
2021-01-26 02:00:00,2.203,2.203,2.203,2.203,44.375
2021-01-26 02:30:00,2.19,2.19,2.19,2.19,45.662
2021-01-26 03:00:00,2.19,2.19,2.19,2.19,0.0
2021-01-26 03:30:00,2.172,2.172,2.152,2.152,102.911
2021-01-26 04:00:00,2.147,2.16,2.147,2.16,280.283
2021-01-26 04:30:00,2.17,2.17,2.17,2.17,66.28
2021-01-26 05:00:00,2.17,2.17,2.17,2.17,0.0
2021-01-26 05:30:00,2.17,2.17,2.17,2.17,0.0
2021-01-26 06:00:00,2.164,2.164,2.164,2.164,45.051
2021-01-26 06:30:00,2.162,2.162,2.162,2.162,90.845
2021-01-26 07:00:00,2.16,2.16,2.15,2.15,53.379
2021-01-26 07:30:00,2.154,2.17,2.15,2.17,493.095
2021-01-26 08:00:00,2.171,2.174,2.171,2.174,44.86
2021-01-26 08:30:00,2.174,2.196,2.173,2.173,2485.281
2021-01-26 09:00:00,2.177,2.177,2.162,2.162,600.458
2021-01-26 09:30:00,2.162,2.162,2.154,2.154,47.27
2021-01-26 10:00:00,2.171,2.182,2.171,2.182,215.511
2021-01-26 10:30:00,2.186,2.186,2.182,2.182,134.949
2021-01-26 11:00:00,2.178,2.178,2.171,2.171,14.189
2021-01-26 11:30:00,2.168,2.168,2.168,2.168,193.738
2021-01-26 12:00:00,2.166,2.168,2.155,2.155,435.502
2021-01-26 12:30:00,2.155,2.155,2.127,2.127,180.82
2021-01-26 13:00:00,2.127,2.144,2.125,2.136,812.524
2021-01-26 13:30:00,2.13,2.142,2.116,2.116,2343.961
2021-01-26 14:00:00,2.14,2.142,2.117,2.117,2749.518
2021-01-26 14:30:00,2.128,2.239,2.108,2.117,1558.754
2021-01-26 15:00:00,2.122,2.128,2.122,2.125,458.089
2021-01-26 15:30:00,2.126,2.126,2.126,2.126,13.0
2021-01-26 16:00:00,2.126,2.138,2.123,2.126,1165.846
2021-01-26 16:30:00,2.145,2.146,2.145,2.146,45.539
2021-01-26 17:00:00,2.156,2.162,2.146,2.162,2116.852
2021-01-26 17:30:00,2.15,2.152,2.146,2.146,240.983
2021-01-26 18:00:00,2.159,2.166,2.158,2.164,769.87
2021-01-26 18:30:00,2.162,2.162,2.158,2.16,134.659
2021-01-26 19:00:00,2.166,2.168,2.152,2.154,616.907
2021-01-26 19:30:00,2.16,2.166,2.157,2.158,1464.449
2021-01-26 20:00:00,2.158,2.17,2.158,2.168,204.551
2021-01-26 20:30:00,2.158,2.164,2.152,2.16,534.106
2021-01-26 21:00:00,2.16,2.163,2.154,2.162,1002.459
2021-01-26 21:30:00,2.163,2.164,2.158,2.159,684.03
2021-01-26 22:00:00,2.154,2.156,2.15,2.156,130.8
2021-01-26 22:30:00,2.156,2.162,2.156,2.162,426.129
2021-01-26 23:00:00,2.162,2.173,2.162,2.173,131.375
2021-01-26 23:30:00,2.169,2.169,2.162,2.167,110.803
2021-01-27 00:00:00,2.146,2.149,2.146,2.149,42.631
2021-01-27 00:30:00,2.149,2.156,2.142,2.147,454.103
2021-01-27 01:00:00,2.149,2.15,2.149,2.15,1500.096
2021-01-27 01:30:00,2.147,2.149,2.147,2.147,149.247
2021-01-27 02:00:00,2.147,2.147,2.147,2.147,0.0
2021-01-27 02:30:00,2.134,2.134,2.131,2.131,96.644
2021-01-27 03:00:00,2.134,2.139,2.134,2.139,479.864
2021-01-27 03:30:00,2.139,2.141,2.139,2.141,110.205
2021-01-27 04:00:00,2.141,2.141,2.141,2.141,0.0
