Symbol,Strategy,Interval,Initial Balance,Final Balance,Performance,Trades
ETH,SMA,5m,417.56,5125.06,1127.38,1769
ETH,RSI,5m,96.36,364.05,277.8,1079
ETH,SO,5m,96.36,3965.96,4015.77,4717
ETH,EMA,5m,96.36,5550.9,5660.59,2105
ETH,MACD,5m,96.36,5424.44,5529.35,20381
ETH,ADX,5m,96.36,2934.36,2945.21,3337
ETH,BB,5m,96.36,4978.47,5066.53,10005
ETH,SMA, 15m,461.77,859.17,86.06,895
ETH,RSI, 15m,106.56,1292.7,1113.09,491
ETH,SO, 15m,106.56,891.17,736.28,1455
ETH,EMA, 15m,106.56,3846.09,3509.22,957
ETH,MACD, 15m,106.56,755.7,609.16,6719
ETH,ADX, 15m,106.56,4654.38,4267.73,1101
ETH,BB, 15m,106.56,4627.35,4242.36,3405
ETH,SMA, 30m,452.92,4793.25,958.3,613
ETH,RSI, 30m,104.52,197.65,89.1,271
ETH,SO, 30m,104.52,872.38,734.65,711
ETH,EMA, 30m,104.52,4392.53,4102.57,645
ETH,MACD, 30m,104.52,3665.25,3406.75,3341
ETH,ADX, 30m,104.52,3832.58,3566.84,625
ETH,BB, 30m,104.52,4367.67,4078.79,1785
ETH,SMA, 1h,434.37,3800.52,774.95,501
ETH,RSI, 1h,100.24,197.74,97.27,151
ETH,SO, 1h,100.24,1675.77,1571.77,315
ETH,EMA, 1h,100.24,4612.79,4501.79,505
ETH,MACD, 1h,100.24,4799.88,4688.44,1737
ETH,ADX, 1h,100.24,4607.61,4496.62,317
ETH,BB, 1h,100.24,3233.5,3125.79,877
ETH,SMA, 2h,486.89,5913.54,1114.56,385
ETH,RSI, 2h,112.36,-226.3,-301.41,67
ETH,SO, 2h,112.36,4153.2,3596.37,165
ETH,EMA, 2h,112.36,5746.07,5014.03,389
ETH,MACD, 2h,112.36,4770.66,4145.91,881
ETH,ADX, 2h,112.36,3630.77,3131.4,193
ETH,BB, 2h,112.36,3253.37,2795.51,477
ETH,SMA, 4h,637.57,4582.03,618.67,353
ETH,RSI, 4h,147.13,354.38,140.86,19
ETH,SO, 4h,147.13,268.74,82.65,63
ETH,EMA, 4h,147.13,4288.37,2814.64,353
ETH,MACD, 4h,147.13,-123.29,-183.8,547
ETH,ADX, 4h,147.13,5299.18,3501.65,101
ETH,BB, 4h,147.13,3767.81,2460.84,253
ETH,SMA, 6h,619.32,5229.96,744.47,369
ETH,RSI, 6h,142.92,546.82,282.61,11
ETH,SO, 6h,142.92,391.7,174.07,39
ETH,EMA, 6h,142.92,5241.1,3567.16,333
ETH,MACD, 6h,142.92,3909.17,2635.22,417
ETH,ADX, 6h,142.92,4547.32,3081.72,77
ETH,BB, 6h,142.92,3803.41,2561.22,181
ETH,SMA, 8h,669.81,4437.59,562.51,353
ETH,RSI, 8h,154.57,3271.6,2016.55,1
ETH,SO, 8h,154.57,233.89,51.31,19
ETH,EMA, 8h,154.57,4514.93,2820.92,333
ETH,MACD, 8h,154.57,4479.79,2798.19,309
ETH,ADX, 8h,154.57,4218.75,2629.31,45
ETH,BB, 8h,154.57,3633.21,2250.5,125
ETH,SMA, 12h,1429.42,132.05,-90.76,251
ETH,RSI, 12h,329.86,3256.86,887.33,1
ETH,SO, 12h,329.86,3184.29,865.33,13
ETH,EMA, 12h,329.86,4117.45,1148.22,253
ETH,MACD, 12h,329.86,3581.21,985.66,225
ETH,ADX, 12h,329.86,3685.49,1017.27,45
ETH,BB, 12h,329.86,3663.9,1010.73,77
LTC,SMA,5m,245.42,108.95,-55.61,1049
